293,000786.SZ,北新建材,北新集团建材股份有限公司
294,000788.SZ,北大医药,北大医药股份有限公司
295,000789.SZ,万年青,江西万年青水泥股份有限公司
296,000790.SZ,华神科技,成都华神科技集团股份有限公司
297,000791.SZ,甘肃能源,甘肃电投能源发展股份有限公司
298,000792.SZ,盐湖股份,青海盐湖工业股份有限公司
299,000793.SZ,华闻集团,华闻传媒投资集团股份有限公司
300,000795.SZ,英洛华,英洛华科技股份有限公司
301,000796.SZ,*ST凯撒,凯撒同盛发展股份有限公司
302,000797.SZ,中国武夷,中国武夷实业股份有限公司
303,000798.SZ,中水渔业,中水集团远洋股份有限公司
304,000799.SZ,酒鬼酒,酒鬼酒股份有限公司
305,000800.SZ,一汽解放,一汽解放集团股份有限公司
306,000801.SZ,四川九洲,四川九洲电器股份有限公司
307,000802.SZ,北京文化,北京京西文化旅游股份有限公司
308,000803.SZ,山高环能,山高环能集团股份有限公司
309,000806.SZ,*ST银河,北海银河生物产业投资股份有限公司
310,000807.SZ,云铝股份,云南铝业股份有限公司
311,000809.SZ,ST新城,铁岭新城投资控股(集团)股份有限公司
312,000810.SZ,创维数字,创维数字股份有限公司
313,000811.SZ,冰轮环境,冰轮环境技术股份有限公司
314,000812.SZ,陕西金叶,陕西金叶科教集团股份有限公司
315,000813.SZ,德展健康,德展大健康股份有限公司
316,000815.SZ,美利云,中冶美利云产业投资股份有限公司
317,000816.SZ,智慧农业,江苏农华智慧农业科技股份有限公司
318,000818.SZ,航锦科技,航锦科技股份有限公司
319,000819.SZ,岳阳兴长,岳阳兴长石化股份有限公司
320,000820.SZ,神雾节能,神雾节能股份有限公司
321,000821.SZ,京山轻机,湖北京山轻工机械股份有限公司
322,000822.SZ,山东海化,山东海化股份有限公司
323,000823.SZ,超声电子,广东汕头超声电子股份有限公司
324,000825.SZ,太钢不锈,山西太钢不锈钢股份有限公司
325,000826.SZ,启迪环境,启迪环境科技发展股份有限公司
326,000828.SZ,东莞控股,东莞发展控股股份有限公司
327,000829.SZ,天音控股,天音通信控股股份有限公司
328,000830.SZ,鲁西化工,鲁西化工集团股份有限公司
329,000831.SZ,中国稀土,中国稀土集团资源科技股份有限公司
330,000833.SZ,粤桂股份,广西粤桂广业控股股份有限公司
331,000836.SZ,富通信息,天津富通信息科技股份有限公司
332,000837.SZ,秦川机床,秦川机床工具集团股份公司
333,000838.SZ,财信发展,财信地产发展集团股份有限公司
334,000839.SZ,ST国安,中信国安信息产业股份有限公司
335,000848.SZ,承德露露,承德露露股份公司
336,000850.SZ,华茂股份,安徽华茂纺织股份有限公司
337,000851.SZ,高鸿股份,大唐高鸿网络股份有限公司
338,000852.SZ,石化机械,中石化石油机械股份有限公司
339,000856.SZ,冀东装备,唐山冀东装备工程股份有限公司
340,000858.SZ,五粮液,宜宾五粮液股份有限公司
341,000859.SZ,国风新材,安徽国风新材料股份有限公司
342,000860.SZ,顺鑫农业,北京顺鑫农业股份有限公司
343,000861.SZ,海印股份,广东海印集团股份有限公司
344,000862.SZ,银星能源,宁夏银星能源股份有限公司
345,000863.SZ,三湘印象,三湘印象股份有限公司
346,000868.SZ,安凯客车,安徽安凯汽车股份有限公司
347,000869.SZ,张裕A,烟台张裕葡萄酿酒股份有限公司
348,000875.SZ,吉电股份,吉林电力股份有限公司
349,000876.SZ,新希望,新希望六和股份有限公司
350,000877.SZ,天山股份,新疆天山水泥股份有限公司
351,000878.SZ,云南铜业,云南铜业股份有限公司
352,000880.SZ,潍柴重机,潍柴重机股份有限公司
353,000881.SZ,中广核技,中广核核技术发展股份有限公司
354,000882.SZ,华联股份,北京华联商厦股份有限公司
355,000883.SZ,湖北能源,湖北能源集团股份有限公司
356,000885.SZ,城发环境,城发环境股份有限公司
357,000886.SZ,海南高速,海南高速公路股份有限公司
358,000887.SZ,中鼎股份,安徽中鼎密封件股份有限公司
359,000888.SZ,峨眉山A,峨眉山旅游股份有限公司
360,000889.SZ,ST中嘉,中嘉博创信息技术股份有限公司
361,000890.SZ,法尔胜,江苏法尔胜股份有限公司
362,000892.SZ,欢瑞世纪,欢瑞世纪联合股份有限公司
363,000893.SZ,亚钾国际,亚钾国际投资(广州)股份有限公司
364,000895.SZ,双汇发展,河南双汇投资发展股份有限公司
365,000897.SZ,津滨发展,天津津滨发展股份有限公司
366,000898.SZ,鞍钢股份,鞍钢股份有限公司
367,000899.SZ,赣能股份,江西赣能股份有限公司
368,000900.SZ,现代投资,现代投资股份有限公司
369,000901.SZ,航天科技,航天科技控股集团股份有限公司
370,000902.SZ,新洋丰,新洋丰农业科技股份有限公司
371,000903.SZ,云内动力,昆明云内动力股份有限公司
372,000905.SZ,厦门港务,厦门港务发展股份有限公司
373,000906.SZ,浙商中拓,浙商中拓集团股份有限公司
374,000908.SZ,景峰医药,湖南景峰医药股份有限公司
375,000909.SZ,ST数源,数源科技股份有限公司
376,000910.SZ,大亚圣象,大亚圣象家居股份有限公司
377,000911.SZ,南宁糖业,南宁糖业股份有限公司
378,000912.SZ,泸天化,四川泸天化股份有限公司
379,000913.SZ,钱江摩托,浙江钱江摩托股份有限公司
380,000915.SZ,华特达因,山东华特达因健康股份有限公司
381,000917.SZ,电广传媒,湖南电广传媒股份有限公司
382,000918.SZ,*ST嘉凯,嘉凯城集团股份有限公司
383,000919.SZ,金陵药业,金陵药业股份有限公司
384,000920.SZ,沃顿科技,沃顿科技股份有限公司
385,000921.SZ,海信家电,海信家电集团股份有限公司
386,000922.SZ,佳电股份,哈尔滨电气集团佳木斯电机股份有限公司
387,000923.SZ,河钢资源,河钢资源股份有限公司
388,000925.SZ,众合科技,浙江众合科技股份有限公司
389,000926.SZ,福星股份,湖北福星科技股份有限公司
390,000927.SZ,中国铁物,中国铁路物资股份有限公司
391,000928.SZ,中钢国际,中钢国际工程技术股份有限公司
392,000929.SZ,兰州黄河,兰州黄河企业股份有限公司
393,000930.SZ,中粮科技,中粮生物科技股份有限公司
394,000931.SZ,中关村,北京中关村科技发展(控股)股份有限公司
395,000932.SZ,华菱钢铁,湖南华菱钢铁股份有限公司
396,000933.SZ,神火股份,河南神火煤电股份有限公司
397,000935.SZ,四川双马,四川和谐双马股份有限公司
398,000936.SZ,华西股份,江苏华西村股份有限公司
399,000937.SZ,冀中能源,冀中能源股份有限公司
400,000938.SZ,紫光股份,紫光股份有限公司
401,000948.SZ,南天信息,云南南天电子信息产业股份有限公司
402,000949.SZ,新乡化纤,新乡化纤股份有限公司
403,000950.SZ,重药控股,重药控股股份有限公司
404,000951.SZ,中国重汽,中国重汽集团济南卡车股份有限公司
405,000952.SZ,广济药业,湖北广济药业股份有限公司
406,000953.SZ,河化股份,广西河池化工股份有限公司
407,000955.SZ,欣龙控股,欣龙控股(集团)股份有限公司
408,000957.SZ,中通客车,中通客车股份有限公司
409,000958.SZ,电投产融,国家电投集团产融控股股份有限公司
410,000959.SZ,首钢股份,北京首钢股份有限公司
411,000960.SZ,锡业股份,云南锡业股份有限公司
412,000961.SZ,中南建设,江苏中南建设集团股份有限公司
413,000962.SZ,东方钽业,宁夏东方钽业股份有限公司
414,000963.SZ,华东医药,华东医药股份有限公司
415,000965.SZ,天保基建,天津天保基建股份有限公司
416,000966.SZ,长源电力,国家能源集团长源电力股份有限公司
417,000967.SZ,盈峰环境,盈峰环境科技集团股份有限公司
418,000968.SZ,蓝焰控股,山西蓝焰控股股份有限公司
419,000969.SZ,安泰科技,安泰科技股份有限公司
420,000970.SZ,中科三环,北京中科三环高技术股份有限公司
421,000971.SZ,ST高升,高升控股股份有限公司
422,000972.SZ,中基健康,中基健康产业股份有限公司
423,000973.SZ,佛塑科技,佛山佛塑科技集团股份有限公司
424,000975.SZ,银泰黄金,银泰黄金股份有限公司
425,000976.SZ,ST华铁,广东华铁通达高铁装备股份有限公司
426,000977.SZ,浪潮信息,浪潮电子信息产业股份有限公司
427,000978.SZ,桂林旅游,桂林旅游股份有限公司
428,000980.SZ,众泰汽车,众泰汽车股份有限公司
429,000981.SZ,山子股份,山子高科技股份有限公司
430,000982.SZ,中银绒业,宁夏中银绒业股份有限公司
431,000983.SZ,山西焦煤,山西焦煤能源集团股份有限公司
432,000985.SZ,大庆华科,大庆华科股份有限公司
433,000987.SZ,越秀资本,广州越秀资本控股集团股份有限公司
434,000988.SZ,华工科技,华工科技产业股份有限公司
435,000989.SZ,九芝堂,九芝堂股份有限公司
436,000990.SZ,诚志股份,诚志股份有限公司
437,000993.SZ,闽东电力,福建闽东电力股份有限公司
438,000995.SZ,*ST皇台,甘肃皇台酒业股份有限公司
439,000996.SZ,*ST中期,中国中期投资股份有限公司
440,000997.SZ,新大陆,新大陆数字技术股份有限公司
441,000998.SZ,隆平高科,袁隆平农业高科技股份有限公司
442,000999.SZ,华润三九,华润三九医药股份有限公司
443,001201.SZ,东瑞股份,东瑞食品集团股份有限公司
444,001202.SZ,炬申股份,广东炬申物流股份有限公司
445,001203.SZ,大中矿业,内蒙古大中矿业股份有限公司
446,001205.SZ,盛航股份,南京盛航海运股份有限公司
447,001206.SZ,依依股份,天津市依依卫生用品股份有限公司
448,001207.SZ,联科科技,山东联科科技股份有限公司
449,001208.SZ,华菱线缆,湖南华菱线缆股份有限公司
450,001209.SZ,洪兴股份,广东洪兴实业股份有限公司
451,001210.SZ,金房节能,北京金房暖通节能技术股份有限公司
452,001211.SZ,双枪科技,双枪科技股份有限公司
453,001212.SZ,中旗新材,广东中旗新材料股份有限公司
454,001213.SZ,中铁特货,中铁特货物流股份有限公司
455,001215.SZ,千味央厨,郑州千味央厨食品股份有限公司
456,001216.SZ,华瓷股份,湖南华联瓷业股份有限公司
457,001217.SZ,华尔泰,安徽华尔泰化工股份有限公司
458,001218.SZ,丽臣实业,湖南丽臣实业股份有限公司
459,001219.SZ,青岛食品,青岛食品股份有限公司
460,001222.SZ,源飞宠物,温州源飞宠物玩具制品股份有限公司
461,001223.SZ,欧克科技,欧克科技股份有限公司
462,001225.SZ,和泰机电,杭州和泰机电股份有限公司
463,001226.SZ,拓山重工,安徽拓山重工股份有限公司
464,001227.SZ,兰州银行,兰州银行股份有限公司
465,001228.SZ,永泰运,永泰运化工物流股份有限公司
466,001229.SZ,魅视科技,广东魅视科技股份有限公司
467,001230.SZ,劲旅环境,劲旅环境科技股份有限公司
468,001231.SZ,农心科技,农心作物科技股份有限公司
469,001234.SZ,泰慕士,江苏泰慕士针纺科技股份有限公司
470,001236.SZ,弘业期货,弘业期货股份有限公司
471,001238.SZ,浙江正特,浙江正特股份有限公司
472,001255.SZ,博菲电气,浙江博菲电气股份有限公司
473,001256.SZ,炜冈科技,浙江炜冈科技股份有限公司
474,001258.SZ,立新能源,新疆立新能源股份有限公司
475,001259.SZ,利仁科技,北京利仁科技股份有限公司
